day,time
2016-12-09-16-22-02,0m29.481s
2016-12-09-16-33-01,0m34.373s
2016-12-09-16-44-02,0m30.762s
2016-12-09-16-55-01,0m28.464s
2016-12-09-17-11-01,0m39.613s
2016-12-09-17-22-02,0m30.660s
2016-12-09-17-33-02,0m30.452s
2016-12-09-17-44-01,0m28.053s
2016-12-09-17-55-01,0m29.532s
2016-12-09-18-11-02,0m37.027s
2016-12-09-18-22-01,0m29.255s
2016-12-09-18-33-01,0m27.618s
2016-12-09-18-44-01,0m29.447s
2016-12-09-18-55-02,0m28.484s
2016-12-09-19-11-01,0m33.395s
2016-12-09-19-22-01,0m32.268s
2016-12-09-19-33-02,0m32.356s
2016-12-09-19-44-01,0m33.191s
2016-12-09-19-55-01,0m27.651s
2016-12-09-20-11-01,3m53.015s
2016-12-09-20-22-01,0m28.137s
2016-12-09-20-33-01,0m29.749s
2016-12-09-20-44-02,0m28.787s
2016-12-09-20-55-01,0m29.820s
2016-12-10-08-11-01,0m29.813s
2016-12-10-08-22-01,0m29.102s
2016-12-10-08-33-01,0m27.453s
2016-12-10-08-44-02,0m30.100s
2016-12-10-08-55-02,0m29.418s
2016-12-10-09-11-01,0m29.592s
2016-12-10-09-22-01,0m29.422s
2016-12-10-09-33-02,0m30.295s
2016-12-10-09-44-01,0m29.019s
2016-12-10-09-55-02,0m30.620s
2016-12-10-10-11-01,0m29.195s
2016-12-10-10-22-01,0m29.158s
2016-12-10-10-33-01,0m28.000s
2016-12-10-10-44-01,0m26.895s
2016-12-10-10-55-01,0m29.763s
2016-12-10-11-11-02,0m27.754s
2016-12-10-11-22-02,0m29.456s
2016-12-10-11-33-02,0m28.668s
2016-12-10-11-44-01,0m30.367s
2016-12-10-11-55-01,0m29.697s
2016-12-10-12-11-01,0m29.533s
2016-12-10-12-22-01,0m28.478s
2016-12-10-12-33-02,0m33.423s
2016-12-10-12-44-01,0m29.107s
2016-12-10-12-55-01,0m41.903s
2016-12-10-13-11-01,0m35.643s
2016-12-10-13-22-01,0m28.616s
2016-12-10-13-33-01,0m29.940s
2016-12-10-13-44-02,0m28.760s
2016-12-10-13-55-01,0m28.497s
2016-12-10-14-11-01,0m30.099s
2016-12-10-14-22-01,0m29.240s
2016-12-10-14-33-02,0m28.985s
2016-12-10-14-44-02,0m29.134s
2016-12-10-14-55-02,0m27.528s
2016-12-10-15-11-02,0m30.313s
2016-12-10-15-22-01,0m26.775s
2016-12-10-15-33-01,0m28.382s
2016-12-10-15-44-02,0m30.971s
2016-12-10-15-55-01,0m30.455s
2016-12-10-16-11-01,0m27.610s
2016-12-10-16-22-01,0m29.772s
2016-12-10-16-33-01,0m30.591s
2016-12-10-16-44-01,0m29.335s
2016-12-10-16-55-02,0m28.602s
2016-12-10-17-11-01,0m30.427s
2016-12-10-17-22-01,0m30.988s
2016-12-10-17-33-01,0m29.601s
2016-12-10-17-44-01,0m30.187s
2016-12-10-17-55-01,0m30.881s
2016-12-10-18-11-01,0m29.500s
2016-12-10-18-22-02,0m28.777s
2016-12-10-18-33-01,0m29.383s
2016-12-10-18-44-01,0m29.006s
2016-12-10-18-55-01,0m30.193s
2016-12-10-19-11-01,0m26.110s
2016-12-10-19-22-02,0m29.885s
2016-12-10-19-33-01,0m28.668s
2016-12-10-19-44-01,0m26.625s
2016-12-10-19-55-01,0m27.316s
2016-12-10-20-11-01,0m28.193s
2016-12-10-20-22-02,0m30.268s
2016-12-10-20-33-01,0m28.788s
2016-12-10-20-44-01,0m29.041s
2016-12-10-20-55-01,0m29.893s
2016-12-11-08-11-01,0m29.004s
2016-12-11-08-22-02,0m29.109s
2016-12-11-08-33-01,0m28.199s
2016-12-11-08-44-01,0m29.079s
2016-12-11-08-55-01,0m29.373s
2016-12-11-09-11-01,0m29.378s
2016-12-11-09-22-01,0m28.630s
2016-12-11-09-33-01,0m29.813s
2016-12-11-09-44-02,0m27.831s
2016-12-11-09-55-01,0m28.693s
2016-12-11-10-11-01,0m29.938s
2016-12-11-10-22-01,0m28.203s
2016-12-11-10-33-02,0m29.180s
2016-12-11-10-44-01,0m29.920s
2016-12-11-10-55-02,0m29.486s
2016-12-11-11-11-01,0m28.273s
2016-12-11-11-22-01,0m29.090s
2016-12-11-11-33-01,0m30.357s
2016-12-11-11-44-02,0m29.870s
2016-12-11-11-55-01,0m29.818s
2016-12-11-12-11-01,0m30.641s
2016-12-11-12-22-01,0m28.820s
2016-12-11-12-33-01,0m29.889s
2016-12-11-12-44-01,0m28.385s
2016-12-11-12-55-01,0m29.042s
2016-12-11-13-11-01,0m29.998s
2016-12-11-13-22-02,0m29.111s
2016-12-11-13-33-01,0m30.831s
2016-12-11-13-44-01,0m29.319s
2016-12-11-13-55-01,0m29.747s
2016-12-11-14-11-01,0m30.156s
2016-12-11-14-22-01,0m29.488s
2016-12-11-14-33-01,0m27.487s
2016-12-11-14-44-02,0m29.129s
2016-12-11-14-55-02,0m29.472s
2016-12-11-15-11-01,0m30.204s
2016-12-11-15-22-01,0m29.902s
2016-12-11-15-33-02,0m29.099s
2016-12-11-15-44-02,0m29.418s
2016-12-11-15-55-01,0m30.029s
2016-12-11-16-11-01,0m29.902s
2016-12-11-16-22-01,0m29.732s
